contact_id,account_id,first_name,last_name,email,job_title,opted_out,created_date,created_date_parsed,created_date_format,email_clean,email_status,email_domain_root,email_is_duplicate,email_duplicate_count,created_date_flag,persona_tier,entity_id,entity_source,is_orphan,person_primary,duplicate_of,title_from_copy,email_multi_entity,is_bot
CON-016727,ACC-006561,Ines,Guerin,ines.guerin@novamarsystems.eu,HR Intern,false,2022-11-21,2022-11-21,iso,ines.guerin@novamarsystems.eu,ok,novamarsystems,0,,,bruit,ENT-12113,account,0,1,,0,0,0
CON-028183,ACC-011060,Chloe,Andre,candre@grimogordynamics.fr,HR Intern,false,04/01/19,2019-04-01,mdy,candre@grimogordynamics.fr,ok,grimogordynamics,0,,,bruit,ENT-06688,account,0,1,,0,0,0
CON-072397,ACC-028357,Thomas,Vincent,tvincent@belfolexsystems.com,HR Officer,false,09/26/21,2021-09-26,mdy,tvincent@belfolexsystems.com,ok,belfolexsystems,0,,,utilisateur,ENT-01420,account,0,1,,0,0,0
CON-024072,ACC-009411,Ines,Durand,ines.durand@fernomarservices.fr,Talent Acquisition Specialist,false,09/20/19,2019-09-20,mdy,ines.durand@fernomarservices.fr,ok,fernomarservices,0,,,utilisateur,ENT-05590,account,0,1,,0,0,0
CON-075366,ACC-029522,Nora,Chevalier,nora.chevalier@rapibelhub.fr,VP People,false,24/07/2025,2025-07-24,dmy,nora.chevalier@rapibelhub.fr,ok,rapibelhub,0,,,buyer,ENT-14363,account,0,1,,0,0,0
CON-030561,ACC-012011,Jan,Roux,jroux@gallidorlabs.eu,Chargee de recrutement,true,2018-06-18,2018-06-18,iso,jroux@gallidorlabs.eu,ok,gallidorlabs,0,,,utilisateur,ENT-06237,account,0,1,,0,0,0
CON-054438,ACC-021355,Nicolas,Navarro,nicolas.navarro@roccacalfinance.eu,HR Intern,false,08/18/19,2019-08-18,mdy,nicolas.navarro@roccacalfinance.eu,ok,roccacalfinance,0,,,bruit,ENT-14784,account,0,1,,0,0,0
CON-066719,ACC-026115,Antoine,Visser,antoine.visser@novatasretail.co,Charge de recrutement,false,05/28/23,2023-05-28,mdy,antoine.visser@novatasretail.co,ok,novatasretail,0,,,utilisateur,ENT-12251,account,0,1,,0,0,0
CON-074624,ACC-029231,Elena,Jansen,elena.jansen@mavilexlogic.co,People Ops Coordinator,false,08/02/2026,2026-02-08,dmy,elena.jansen@mavilexlogic.co,ok,mavilexlogic,0,,,utilisateur,ENT-10419,account,0,1,,0,0,0
CON-034436,ACC-013506,Julie,Meyer,julie.meyer@yellohalindustries.io,Recruiter,false,21/12/2021,2021-12-21,dmy,julie.meyer@yellohalindustries.io,ok,yellohalindustries,0,,,utilisateur,ENT-19809,account,0,1,,0,0,0
CON-036810,ACC-014464,Quentin,Rousseau,quentin.rousseau@gallifinpharma.io,Executive Assistant,false,24/04/2020,2020-04-24,dmy,quentin.rousseau@gallifinpharma.io,ok,gallifinpharma,0,,,bruit,ENT-06264,account,0,1,,0,0,0
CON-076219,ACC-029871,Elena,Petit,epetit@vectofinlabs.co,Talent Acquisition Specialist,false,2019-07-18,2019-07-18,iso,epetit@vectofinlabs.co,ok,vectofinlabs,0,,,utilisateur,ENT-18132,account,0,1,,0,0,0
CON-036885,ACC-014491,Lucas,Dupont,lucas.dupont@vespidorsolutions.fr,Head of Talent Acquisition,false,10/31/22,2022-10-31,mdy,lucas.dupont@vespidorsolutions.fr,ok,vespidorsolutions,0,,,buyer,ENT-18946,account,0,1,,0,0,0
CON-075808,ACC-029703,Julien,Simon,julien@delfipralogic.com,Compensation & Benefits Manager,false,10/02/26,,mdy,julien@delfipralogic.com,ok,delfipralogic,0,,future,champion,ENT-03568,account,0,1,,0,0,0
CON-021337,ACC-008357,Nicolas,Moreau,nicolas.moreau@lumibelretail.co,HRBP,true,2026-11-21,,iso,nicolas.moreau@lumibelretail.co,ok,lumibelretail,0,,future,champion,ENT-09868,account,0,1,,0,0,0
CON-020610,ACC-008087,Nicolas,Andre,nicolas.andre@gmail.com,HR Assistant,false,2027-04-20,,iso,nicolas.andre@gmail.com,personal,,0,,future,utilisateur,ENT-11334,account,0,1,,0,0,0
CON-052988,ACC-020793,Thomas,Fontaine,tfontaine@sylvacalmedia.fr,HR Intern,false,27/11/2023,2023-11-27,dmy,tfontaine@sylvacalmedia.fr,ok,sylvacalmedia,0,,,bruit,ENT-16441,account,0,1,,0,0,0
CON-001788,ACC-000687,Julien,Navarro,jnavarro@estevaquilogistics.com,COO,false,2025-09-20,2025-09-20,iso,jnavarro@estevaquilogistics.com,ok,estevaquilogistics,0,,,buyer,ENT-04827,account,0,1,,0,0,0
CON-064780,ACC-025361,Camille,Laurent,camille.laurent@vespinexservices.com,COO,false,04/25/25,2025-04-25,mdy,camille.laurent@vespinexservices.com,ok,vespinexservices,0,,,buyer,ENT-19109,account,0,1,,0,0,0
CON-034897,ACC-013711,Hugo,Lefebvre,hugo.lefebvre@quantigorimmo.io,Talent Acquisition Manager,false,04/08/2020,2020-08-04,dmy,hugo.lefebvre@quantigorimmo.io,ok,quantigorimmo,0,,,champion,ENT-14062,account,0,1,,0,0,0
CON-072657,ACC-028459,Elena,Leroy,eleroy@wallipragroup.fr,People Ops Manager,false,28/01/2022,2022-01-28,dmy,eleroy@wallipragroup.fr,ok,wallipragroup,0,,,champion,ENT-19521,account,0,1,,0,0,0
