entity_id,entreprise,score,score_brut,tier,porte,fit,comite_personnes_14j,sponsor_decideur,qui_appeler,son_titre,preuve,canal,play,segment,n_records,signaux_negatifs,perdu_canal_mort,perte,silence
ENT-01485,BelfonexMedia SA,58.5,58.516064101327856,T1,conversion,A,3,oui,Margaux Ferrari,HR Business Partner,formulaire le 07-19,email,new_business,PROSPECT_CHAUD,3,0.0,0,,
ENT-08868,Juntonexworks,100,111.3172064728436,T1,conversion,A,6,oui,Anna Lambert,People Ops Manager,RDV pris le 07-20,email,new_business,PROSPECT_CHAUD,2,0.0,0,,
ENT-04260,EderigorConsulting SARL,100,103.25785764573601,T1,conversion,A,4,oui,Thomas Michel,People Ops Manager,RDV pris le 07-20,email,new_business,PROSPECT_CHAUD,2,0.0,0,,
ENT-06651,GrimodorMobility France,92.8,92.77334763935713,T1,conversion,A,4,oui,Laura Rossi,Chargee de recrutement,RDV pris le 07-17,téléphone/LinkedIn (désabonné),retention,CLIENT_ACTIF,2,0.0,0,,
ENT-02139,Cauridorhub SA,82.5,82.47514401244591,T1,conversion,A,4,oui,Chloe Navarro,CHRO,formulaire le 07-20,email,new_business,PROSPECT_CHAUD,2,0.0,0,,
ENT-17103,TalorinMedia,81.4,81.44997880864602,T1,conversion,A,3,oui,Emma Lambert,Head of People,formulaire le 07-18,email,win_back,EX_CLIENT_REACTIF,2,0.0,0,,
ENT-03244,Cortitasconsulting France,75.8,75.82400237308364,T1,conversion,A,4,oui,Sophie Lefebvre,Responsable Recrutement,RDV pris le 07-20,email,new_business,PROSPECT_CHAUD,2,0.0,0,,
ENT-09891,Lumicalsolutions SA,67.3,67.25228717534986,T1,conversion,A,4,oui,Femke Chevalier,Executive Assistant,RDV pris le 07-16,email,win_back,EX_CLIENT_REACTIF,2,0.0,0,,
ENT-17420,TerramarImmo,58.3,58.2856733194731,T1,conversion,A,3,oui,Florian Faure,VP Human Resources,formulaire le 07-19,email,new_business,PROSPECT_CHAUD,2,0.0,0,,
ENT-11586,Nordifinworks Group,57.3,57.323977015013384,T1,conversion,A,3,oui,Camille Simon,HRBP,formulaire le 07-18,email,new_business,PROSPECT_CHAUD,2,0.0,0,,
ENT-08125,Iberirinlab,100,106.50178848433066,T1,conversion,A,4,oui,Greta Laurent,Head of People,formulaire le 07-20,email,new_business,PROSPECT_CHAUD,1,0.0,0,,
ENT-10942,Meriquiconseil & Co,91.1,91.07898397371052,T1,conversion,A,3,oui,Lea Michel,VP People,formulaire le 07-18,téléphone/LinkedIn (pas d'adresse pro),new_business,PROSPECT_CHAUD,1,0.0,0,,
ENT-03520,DelfimarHub,82.9,82.93666906055081,T1,conversion,A,3,oui,Nora Meyer,CHRO,formulaire le 07-18,email,new_business,PROSPECT_CHAUD,1,0.0,0,,
ENT-13743,PrimomarLogistics,80.8,80.84461107190116,T1,conversion,A,5,oui,Greta Garnier,Head of People,formulaire le 07-18,téléphone/LinkedIn (pas d'adresse pro),new_business,PROSPECT_CHAUD,1,0.0,0,,
ENT-08050,Iberinexforge Group,79.5,79.51543711746292,T1,conversion,A,3,oui,Hugo Petit,Compensation & Benefits Manager,RDV pris le 07-15,email,new_business,PROSPECT_CHAUD,1,0.0,0,,
ENT-08679,Juntodorenergie Group,67.8,67.7644375262348,T1,conversion,A,3,oui,Romain Girard,Directeur RH,formulaire le 07-19,email,new_business,PROSPECT_CHAUD,1,0.0,0,,
ENT-18013,Ulmiviaconseil SAS,58.2,58.20865446833415,T1,conversion,A,4,oui,Emil Fischer,Office Manager,RDV pris le 07-15,email,new_business,PROSPECT_CHAUD,1,0.0,0,,
ENT-16714,Sylvasolfinance Group,0.0,-55.75947517990022,T1,comite,A,4,oui,Hugo Petit,Responsable Recrutement,"comité : 4 personnes actives / 14 j dont un décideur, sans demande",téléphone/LinkedIn (désabonné),risque,EX_CLIENT_REACTIF,1,-76.34960815483166,0,,
ENT-06605,Grimobelpartners SA,56.9,56.90572873964116,T1,conversion,B,4,oui,Benjamin Dubois,HRBP,formulaire le 07-20,téléphone/LinkedIn (pas d'adresse pro),new_business,PROSPECT_CHAUD,3,0.0,0,,
ENT-09043,Kelvibelgroup,89.8,89.82685495762902,T1,conversion,B,5,oui,Anais Rousseau,HR Director,formulaire le 07-19,email,new_business,PROSPECT_CHAUD,2,0.0,0,,
ENT-16665,SylvaquiData,78.8,78.78936881573038,T1,conversion,B,4,oui,Claire Andre,COO,formulaire le 07-15,email,new_business,PROSPECT_CHAUD,2,0.0,0,,
ENT-13232,PerrigorConseil SA,70.2,70.24274103758302,T1,conversion,B,3,oui,Alexandre Girard,VP Human Resources,formulaire le 07-17,email,new_business,PROSPECT_CHAUD,2,0.0,0,,
ENT-05731,Fernotasmobility,100,109.74220225796452,T1,conversion,B,4,oui,Pablo Faure,Compensation & Benefits Manager,RDV pris le 07-20,email,new_business,PROSPECT_CHAUD,1,0.0,0,,
